ladder_step cycle_step iter_num loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0        37.441010214179435     37.434433209894536     0.006577004284905081   0.0                    6.020605951126839      1.2201196395867573     6.133803986223461      0.9807439257698697     0.6286179111140396     0.5220083059572501     77     916    0.0                    0.0                    0                      0                      0                      0                     
0           0          1        1.7140088453453954     1.697132492115181      0.016876352780164975   4.50049207710081e-10   3.781158447393967      1.4704869222413373     1.2436787837123988     1.257296893319456      0.7834096187909174     0.6729816428097979     77     916    4.4942463919451884e-10 6.245685155622047e-13  0                      0                      0                      0                     
0           0          2        0.60342583365527       0.5909862246646731     0.012439608540426987   4.5016975741133514e-10 1.7038028884894667     1.3674425025208252     0.789562620261162      1.151293432565713      0.7263686667601575     0.618811552265045      77     916    4.4944904734850454e-10 7.207100628306252e-13  0                      0                      0                      0                     
0           0          3        0.5218641517073401     0.5102186124614261     0.011645538631644367   6.142696255954138e-10  1.1336250270274475     1.3380429694141056     0.7597600373691406     1.130404872629213      0.7010357069984622     0.5959886662829356     77     916    6.134369800407045e-10  8.326455547093012e-13  0                      0                      0                      0                     
0           0          4        0.3597032062214797     0.35031397777109985    0.00938922766579992    7.845799756240737e-10  1.6066872639364533     1.27780213902891       0.6189000900105397     1.0647783266324857     0.6583487479921873     0.5537902263347796     77     916    7.834364033183806e-10  1.1435723056930563e-12 0                      0                      0                      0                     
0           0          5        0.3277647184113112     0.3189640735524465     0.008800643949229556   9.096351151413559e-10  1.4159023169546896     1.2631244444807102     0.5972646594232148     1.0463425368478336     0.6472517201483515     0.5422378430193985     77     916    9.083533529846059e-10  1.2817621567499802e-12 0                      0                      0                      0                     
0           0          6        0.27611317018486187    0.2682037958320979     0.007909373131039742   1.22172433425975e-09   1.01903415407834       1.237211531074839      0.5610377091998634     1.015665108860109      0.6251152275131673     0.519564578713779      77     916    1.2200263495558314e-09 1.6979847039187289e-12 0                      0                      0                      0                     
0           0          7        0.24638123906028817    0.23907172174924396    0.007309515899257983   1.4117862099424402e-09 1.1431631041347583     1.2216690579301732     0.5255455737177546     0.9960647351078384     0.6106169739273123     0.5042300890436545     77     916    1.4097820965535471e-09 2.0041133888930545e-12 0                      0                      0                      0                     
0           0          8        0.22918054882597771    0.22225800536397294    0.006922541869209498   1.5927952874225158e-09 1.2034732764348859     1.2116994381105293     0.5035596414894247     0.9830135858196355     0.6005124994423933     0.4934120623280284     77     916    1.5905151941386436e-09 2.2800932838722897e-12 0                      0                      0                      0                     
0           0          9        0.2010876064049198     0.19511105693157163    0.005976547473651595   1.999696559397828e-09  1.2271544407987192     1.1786023968339716     0.46944248249669307    0.945304487591211      0.5720212960609624     0.4645554105686329     77     916    1.9966234556754143e-09 3.0731037224136757e-12 0                      0                      0                      0                     
0           0          10       0.14831796291662933    0.14358478482533024    0.004733175323622495   2.7676765850551337e-09 1.2482633376219676     1.1297933832508482     0.397922945974025      0.8846462275760978     0.5213693526709524     0.4113178075862988     77     916    2.7625350486456786e-09 5.141536409455024e-12  0                      0                      0                      0                     
0           0          11       0.09830746811250894    0.09058968087789689    0.007717783060956421   4.173655672501511e-09  1.2290627971469357     1.15664872984513       0.29627156976052166    0.8983986465114836     0.5553613146625603     0.44379081875467413    77     916    4.162595721054727e-09  1.1059951446784676e-11 0                      0                      0                      0                     
0           0          12       0.08861015413218389    0.08140170554507711    0.007208444143246838   4.443859954925174e-09  1.2090039804071062     1.1531542701829889     0.28263137726016996    0.8930817216073408     0.5424798200861405     0.42932370145433263    77     916    4.4316177291358325e-09 1.2242225789341104e-11 0                      0                      0                      0                     
0           0          13       0.07369940563650933    0.0673261012448488     0.00637329942195219    4.969708351841414e-09  1.100684228802017      1.1446642599783177     0.25512399778235484    0.8806031978817889     0.5251995683367706     0.4103660837010922     77     916    4.955301574665609e-09  1.4406777175804947e-11 0                      0                      0                      0                     
0           0          14       0.06488451948530707    0.05986107581735626    0.005023438158169937   5.509780862896554e-09  1.0838187570070432     1.1254479262177355     0.2334701294846967     0.8570588088469743     0.4988278415036477     0.3824080126385836     77     916    5.493155227125994e-09  1.662563577055936e-11  0                      0                      0                      0                     
0           0          15       0.04973087634590336    0.045538006729846287   0.004192863085322804   6.530734273148304e-09  0.9676694058579761     1.105674818792206      0.1991136925250348     0.8338374412366096     0.4784236020985702     0.3614999117563585     77     916    6.5089015798027085e-09 2.1832693345595476e-11 0                      0                      0                      0                     
0           0          16       0.03766473586622368    0.03384689019767767    0.0038178383856384192  7.28290758761378e-09   0.8084495271229357     1.0956759482147818     0.1724259312860387     0.8249526324056525     0.46803622470608996    0.3513452171138189     77     916    7.2564213742581485e-09 2.6486213355631385e-11 0                      0                      0                      0                     
0           0          17       0.023130583697256638   0.019211192245427534   0.003919382331660297   9.120168807477136e-09  0.5058474155654452     1.0921741192799808     0.13425205410720714    0.835168205777019      0.4878595988131317     0.3769540107112984     77     916    9.079502659545504e-09  4.066614793163131e-11  0                      0                      0                      0                     
0           0          18       0.018425973987265674   0.014602647653413051   0.0038233165100563056  9.823796316812883e-09  0.34712288457660945    1.080042065425547      0.1218880581886896     0.8223463181212289     0.4735578268190954     0.36271266287049264    77     916    9.776909645551312e-09  4.688667126157043e-11  0                      0                      0                      0                     
0           0          19       0.016691879930705547   0.013020126865520648   0.003671742872781196   1.019240370162132e-08  0.2506311751397537     1.0804345002492612     0.1209066085890242     0.8105953144613837     0.462030711151946      0.34807112863220335    77     916    1.0142481517487896e-08 4.992218413342439e-11  0                      0                      0                      0                     
0           0          20       0.013784238350352751   0.01016042043768949    0.003623806984860172   1.0927803085791087e-08 0.22053503407812777    1.079551905295392      0.10508533228793322    0.8089298839784083     0.4597719453378591     0.3462529484626721     77     916    1.0872793904820411e-08 5.5009180970676704e-11 0                      0                      0                      0                     
0           0          21       0.010770042681406288   0.007069714040917746   0.0037003159707989348  1.2669689609790279e-08 0.19795617371789298    1.0575275726478932     0.07943491853821101    0.8028887942670918     0.4446126148724557     0.33499698120243504    77     916    1.26025174991623e-08   6.71721106279792e-11   0                      0                      0                      0                     
0           0          22       0.009556439981638095   0.005424210811315047   0.004132214634887475   1.4535435574689346e-08 0.17524601576924798    1.026227811192798      0.06851870063697016    0.7873935550881486     0.4498829912690276     0.351691054690575      77     916    1.4448797613461723e-08 8.663796122762329e-11  0                      0                      0                      0                     
0           0          23       0.00930213704754887    0.005629310294803182   0.003672811248117188   1.550462849894076e-08  0.27059686348978684    1.00718879359318       0.06745972348044035    0.7681947628129726     0.42210621450747093    0.32314090031741904    77     916    1.5406601907167223e-08 9.802659177353724e-11  0                      0                      0                      0                     
0           0          24       0.0072941192776301645  0.0039773359304207286  0.00331676718409148    1.616311795570345e-08  0.24233550940150728    0.9778067332603042     0.05511631713637723    0.7471185016869794     0.3985897867341051     0.30241410298507987    77     916    1.6055406325364755e-08 1.0771163033869583e-10 0                      0                      0                      0                     
0           0          25       0.0065977450883258695  0.0035682758921658595  0.0030294523394411924  1.685671881479081e-08  0.21037677744282676    0.9584438355839003     0.051327547536345795   0.731480560443478      0.3783805743090535     0.2835583708036874     77     916    1.6740224345872876e-08 1.1649446891793318e-10 0                      0                      0                      0                     
0           0          26       0.0064787023077238605  0.003614823145039701   0.002863861599644232   1.7563039926317387e-08 0.19756325281012224    0.9406558703524286     0.054671080365941774   0.7244483706079111     0.3650272215530055     0.27352223304682194    77     916    1.743693519722141e-08  1.2610472909597908e-10 0                      0                      0                      0                     
0           0          27       0.006283789475302597   0.003458602323152357   0.0028251694188079764  1.7733342263016932e-08 0.16132162810836317    0.9373394946798307     0.054908519595438444   0.7224667424778602     0.3623339918283776     0.27142507140094446    77     916    1.7605227922540228e-08 1.281143404767057e-10  0                      0                      0                      0                     
0           0          28       0.0059374293820325654  0.0032244524655914582  0.002712958927088825   1.79893522815122e-08   0.15103078161687747    0.9296853758137344     0.053459003813930726   0.7174498946025245     0.3549619388915341     0.2652438817435581     77     916    1.7858669652998304e-08 1.3068262851389567e-10 0                      0                      0                      0                     
0           0          29       0.005439447577808194   0.0028977153416710703  0.0025417137114328438  1.8524704280810057e-08 0.1281873666825276     0.9164331139696199     0.050832476753051165   0.7085791539874013     0.345014290986548      0.2576208542421084     77     916    1.8388845764620483e-08 1.3585851618957246e-10 0                      0                      0                      0                     
0           0          30       0.004617874128322997   0.002299545097320766   0.002318309643314091   1.9387688139688152e-08 0.11703093510714185    0.8999658439789926     0.0452905013205482     0.697429860640177      0.33290435719677824    0.24880481056492063    77     916    1.9244315703401277e-08 1.433724362868758e-10  0                      0                      0                      0                     
0           0          31       0.003953831139466073   0.0020072502043937263  0.001946559376954576   2.1558117771287917e-08 0.11298553890238744    0.8753593318702431     0.044848672286213975   0.6770690735026197     0.3106763953390435     0.23059063243242856    77     916    2.1391093494670367e-08 1.6702427661755066e-10 0                      0                      0                      0                     
0           0          32       0.0036371394148849837  0.0019487711743558114  0.001688344386714342   2.3853814829607554e-08 0.10750491398751524    0.8544036249524279     0.045984252330336865   0.6608797527378862     0.29025406077908333    0.21353019438317053    77     916    2.365475860832833e-08  1.9905622127922473e-10 0                      0                      0                      0                     
0           0          33       0.003236685019276127   0.0017157568688646438  0.0015209031542745383  2.499613694438816e-08  0.10965375380462378    0.845585371553958      0.0435472960944272     0.6538096540455329     0.28070023114278597    0.20470842815128285    77     916    2.4779934421867783e-08 2.162025225203766e-10  0                      0                      0                      0                     
0           0          34       0.0029026688323249205  0.0014404932821338815  0.0014621485779289945  2.6972262044193794e-08 0.10718478930180693    0.8370843766406276     0.0383265429357151     0.6517721676276148     0.278206276169373      0.2040520449815656     77     916    2.672597739572136e-08  2.462846484724361e-10  0                      0                      0                      0                     
0           0          35       0.002774297773572785   0.001384270569432652   0.0013899984566909114  2.8747449221884096e-08 0.10326883592981437    0.8334177521381964     0.036957156063568135   0.6492692918966295     0.2723654392881065     0.19893363603237904    77     916    2.8471637767381038e-08 2.7581145450305896e-10 0                      0                      0                      0                     
0           0          36       0.0025805837577454133  0.00120514394579355    0.0013754103889405864  2.9423011277112548e-08 0.10123299118850802    0.8308065055131911     0.034630707285503486   0.647259318412079      0.27130245479949566    0.19788874093788655    77     916    2.9135178121464997e-08 2.878331556475514e-10  0                      0                      0                      0                     
0           0          37       0.002370859846374112   0.0010410150044082478  0.0013298141839203814  3.0658045483311514e-08 0.09804058509043027    0.8280373481749386     0.031038496752443138   0.6435125324160782     0.2694125493559052     0.1951335115255953     77     916    3.035092206939478e-08  3.071234139167328e-10  0                      0                      0                      0                     
0           0          38       0.0021180613825237562  0.0008661717850046854  0.0012518573626947372  3.223482433376395e-08  0.0974501767788691     0.827950468048864      0.028217171302535985   0.6404073202491859     0.2657258012750829     0.18935634094560852    77     916    3.190039918406635e-08  3.344251496976005e-10  0                      0                      0                      0                     
0           0          39       0.002044697985927105   0.0008823669140386439  0.001162295990019251   3.508186920969883e-08  0.09543298011741354    0.8164044295969008     0.029354205354444354   0.6315779016008534     0.2546788263335908     0.1780811299577445     77     916    3.469241180218235e-08  3.894574075164823e-10  0                      0                      0                      0                     
0           0          40       0.0019228998247186472  0.0008243734012794695  0.0010984906120047263  3.5811434451011006e-08 0.09437510504058079    0.8117594952342257     0.028725446702050617   0.6283038467127854     0.2502384687618039     0.1738989846972354     77     916    3.540767850304011e-08  4.037559479709007e-10  0                      0                      0                      0                     
0           0          41       0.001750291451583021   0.0007235872079574215  0.0010266673895523047  3.685407329489213e-08  0.09171826017171095    0.8050891573687197     0.026387267114026884   0.6243991165970681     0.245024998758097      0.16926137206571262    77     916    3.643036433095729e-08  4.2370896393483877e-10 0                      0                      0                      0                     
0           0          42       0.0016186871901542452  0.000704458273994699   0.0009141902144723112  3.8701687235084744e-08 0.08870925581569858    0.7939849076382608     0.02613696006321099    0.6207043676044148     0.23777145482585138    0.16451940191493433    77     916    3.824497075771406e-08  4.567164773706889e-10  0                      0                      0                      0                     
0           0          43       0.001546541514856271   0.0006750995436224245  0.0008714007196584309  4.125157541554746e-08  0.08327916705739058    0.7747590899817013     0.026389825558099583   0.6127580270577595     0.2314973310881567     0.16148303889422894    77     916    4.0739396108954303e-08 5.121793065931568e-10  0                      0                      0                      0                     
0           0          44       0.0014692313702359806  0.0006441926398871896  0.0008249964469813943  4.228336739724248e-08  0.08171014077466993    0.7691917606635414     0.025273142883157178   0.60925779872897       0.2264476537793434     0.15686126812236006    77     916    4.17490971938622e-08   5.342702033802811e-10  0                      0                      0                      0                     
0           0          45       0.0014061606326940495  0.0005924862627847374  0.0008136315607772774  4.2809132035343646e-08 0.08015646500748312    0.7673188295157843     0.02392565665880583    0.6102952564148233     0.22383928703827088    0.1544953244357484     77     916    4.226247546780934e-08  5.466565675343041e-10  0                      0                      0                      0                     
0           0          46       0.0013478610531735464  0.0005611505026519364  0.0007866675124417247  4.3038079884830615e-08 0.07884745573609599    0.758196546512927      0.02297687804561912    0.6062814718270225     0.22033843890232       0.15260136644932745    77     916    4.2488443649962264e-08 5.49636234868348e-10   0                      0                      0                      0                     
0           0          47       0.0013015305523705193  0.0005720905776933251  0.000729395498857858   4.4475819336211933e-08 0.0768998002342037     0.7426431307663117     0.023571369083873507   0.6006972450676985     0.21221823443187637    0.14780865409765595    77     916    4.3895521380790406e-08 5.802979554215305e-10  0                      0                      0                      0                     
0           0          48       0.0012595529171688512  0.0005486886327034172  0.0007108183049872344  4.5979478199092e-08    0.07758598302357614    0.732327396116197      0.023261932876228505   0.5965568541243271     0.20842511939527633    0.1455187086618065     77     916    4.536067172518574e-08  6.188064739062611e-10  0                      0                      0                      0                     
0           0          49       0.0012245572606590471  0.0005064957826243866  0.0007180142422286191  4.723580604140312e-08  0.0754706935752722     0.7238827300555255     0.021958920785955394   0.593219414661509      0.2074414466793164     0.1457166331242852     77     916    4.658270529412884e-08  6.531007472742832e-10  0                      0                      0                      0                     
0           0          50       0.001186529286652377   0.0004900511015835336  0.000696430945598797   4.723947004667695e-08  0.07429969348395546    0.7174520677416033     0.021574256244507546   0.5908297667686482     0.20493477034489715    0.14418399800753143    77     916    4.6585217603199806e-08 6.542524434771449e-10  0                      0                      0                      0                     
0           0          51       0.0011492188242620371  0.0004681391251407612  0.0006810319912114765  4.7707909799666084e-08 0.07385888064137912    0.7097829539346228     0.021043862318783704   0.5894885012057421     0.2029438929360333     0.14385848368994186    77     916    4.7042762130684336e-08 6.651476689817504e-10  0                      0                      0                      0                     
0           0          52       0.0011048818595614381  0.0004447547509527628  0.0006600777753827393  4.93332259362221e-08   0.07234402143374503    0.6970403305253036     0.02050055323196795    0.583211006329034      0.19826080369133753    0.1410269278596179     77     916    4.8624473595962536e-08 7.087523402595653e-10  0                      0                      0                      0                     
0           0          53       0.001059753941106021   0.0004290495402428479  0.0006306531705320148  5.123033115849346e-08  0.07124195156178156    0.6825355331276989     0.019914033036096512   0.5761166292543586     0.19307469746045872    0.13788942209737695    77     916    5.046868043147239e-08  7.616507270210741e-10  0                      0                      0                      0                     
0           0          54       0.0010241049228755569  0.00041190908271793115 0.0006121433405814735  5.2499576152167666e-08 0.07024063182594215    0.6756837528087893     0.01945570977785547    0.573247431108191      0.1897790095565182     0.1355535106103666     77     916    5.1701332294522714e-08 7.982438576449529e-10  0                      0                      0                      0                     
0           0          55       0.000981957780798897   0.00039431939130166616 0.0005875842088690507  5.4180628180117666e-08 0.07033834193689015    0.665136234298136      0.018775822789426574   0.5681412719127716     0.18533310777669323    0.13269369616209695    77     916    5.333195146200925e-08  8.486767181084145e-10  0                      0                      0                      0                     
0           0          56       0.0009553625297453119  0.00038142043643689296 0.0005738866973601369  5.5395948282032675e-08 0.06955663848556456    0.6608044030744478     0.018515979449767808   0.5669558706682479     0.18253032147586273    0.13087119059040306    77     916    5.4511236385291736e-08 8.847118967409384e-10  0                      0                      0                      0                     
0           0          57       0.0009383830547808636  0.0003739097114547283  0.0005644170768180315  5.626650810402648e-08  0.06885470654825682    0.6582907777847842     0.018169655689926723   0.5667871216411562     0.18150836096317255    0.13044852353837816    77     916    5.5355360728307936e-08 9.111473757185416e-10  0                      0                      0                      0                     
0           0          58       0.0009134401273388048  0.0003573797663959485  0.0005560031024087394  5.7258534117074426e-08 0.06785071452192797    0.6558741815737568     0.0176076707986062     0.5651676312027519     0.17985301655136451    0.12865615147803672    77     916    5.631673303618904e-08  9.418010808853906e-10  0                      0                      0                      0                     
0           0          59       0.000894993784508697   0.00035676771541768036 0.0005381678173474731  5.825174354341609e-08  0.06725741151199362    0.6523150608581809     0.01766808798463862    0.5631258448452381     0.17697836756991775    0.1261015270135672     77     916    5.7279159872004604e-08 9.725836714114846e-10  0                      0                      0                      0                     
0           0          60       0.0008746807415019593  0.00034107546771793934 0.0005335467885222373  5.848526178264774e-08  0.06639734191471842    0.6504171687194658     0.017238001737901135   0.5623773000518374     0.1759002231037956     0.1253061635345229     77     916    5.750614334760037e-08  9.791184350473679e-10  0                      0                      0                      0                     
0           0          61       0.0008622161800303224  0.0003373243882964419  0.0005248323481563552  5.94435775251618e-08   0.06628091495816871    0.6466629096621819     0.017045917828512693   0.5596393152431088     0.17437906215862142    0.12409256271939996    77     916    5.843245266756929e-08  1.0111248575925062e-09 0                      0                      0                      0                     
0           0          62       0.0008451583771650098  0.00032896625556762623 0.0005161324842685226  5.963732886095877e-08  0.06527780601541577    0.6435516513014395     0.016919654793349625   0.5575805855452696     0.17283743770856552    0.12312117142246246    77     916    5.861949073985985e-08  1.0178381210989216e-09 0                      0                      0                      0                     
0           0          63       0.0008240930800311781  0.00032323485302091436 0.0005007973847463978  6.084226386596876e-08  0.06440082137127193    0.6360259089277994     0.016804163761983446   0.5531915083174929     0.16974804781947117    0.12145338940039409    77     916    5.978141280398711e-08  1.0608510619816508e-09 0                      0                      0                      0                     
0           0          64       0.0008059337485009536  0.00030938842693981603 0.0004964821196331524  6.320192798527905e-08  0.06393191855447332    0.6260280856656263     0.016482414548443593   0.5466721249616834     0.16758693353360485    0.12091808810958453    77     916    6.204972411711682e-08  1.1522038681622304e-09 0                      0                      0                      0                     
0           0          65       0.000787320884976121   0.0003034056853830516  0.0004838507813415824  6.441825148711562e-08  0.06279592017240389    0.6192700006879926     0.01627067068071618    0.5423484789011291     0.1649972476493617     0.11951650650654162    77     916    6.321450719152082e-08  1.2037442955948105e-09 0                      0                      0                      0                     
0           0          66       0.0007678293629141871  0.0003012478689431748  0.0004665175187658955  6.397520511682039e-08  0.062306621811180254   0.6171276245318517     0.016308101062374486   0.5407223822080702     0.16207072069982048    0.11708747182383507    77     916    6.278583825560356e-08  1.1893668612168392e-09 0                      0                      0                      0                     
0           0          67       0.0007508407735907418  0.00029484348980082727 0.0004559313085052754  6.597528463928363e-08  0.06382990383632205    0.6105078371097851     0.016007871963981922   0.5349175042772448     0.15981645470519493    0.11507515258111423    77     916    6.470491014218164e-08  1.2703744971019854e-09 0                      0                      0                      0                     
0           0          68       0.0007351585448070449  0.00028855169948024056 0.00044654070258551433 6.614274128988604e-08  0.06250161685565361    0.6084308109503578     0.01572353588715919    0.5329182608591875     0.1584147583387098     0.11394672086106573    77     916    6.486574601319337e-08  1.2769952766926723e-09 0                      0                      0                      0                     
0           0          69       0.0007237993727233425  0.0002816810266524624  0.00044205147648436124 6.686958651864466e-08  0.06258106680390887    0.6051360352902365     0.015433899468322198   0.5300867195183228     0.1577351903985632     0.11348585535030578    77     916    6.556105352019023e-08  1.3085329984544291e-09 0                      0                      0                      0                     
0           0          70       0.0007097175915414015  0.00027410204546280645 0.0004355478911211696  6.765495742554031e-08  0.06161679129808442    0.6022211562213589     0.01524594032446135    0.5273664174524297     0.15699839490465442    0.11273370234076985    77     916    6.631331821298016e-08  1.3416392125601562e-09 0                      0                      0                      0                     
0           0          71       0.0006914437145524355  0.0002655703122819269  0.00042580401310180795 6.938916870063005e-08  0.061077467057465425   0.5955454579864472     0.014965865974837539   0.5214232284283561     0.15525830741742833    0.111411597393208      77     916    6.797001258692513e-08  1.4191561137049262e-09 0                      0                      0                      0                     
0           0          72       0.0006718091720221891  0.0002514498209065408  0.00042028887502517384 7.04760904743368e-08   0.05914918647510463    0.5910698269784911     0.014504919640546877   0.5167257136206556     0.1547475764386251     0.11085277735631328    77     916    6.900512877106456e-08  1.4709617032722237e-09 0                      0                      0                      0                     
0           0          73       0.0006566914030545711  0.00024283349892802555 0.00041378667062927366 7.123349727182638e-08  0.05736021039242686    0.5862395874079657     0.014283918291265156   0.5118771663169739     0.15362670894454616    0.10990625531844173    77     916    6.97229502216467e-08   1.5105470501796742e-09 0                      0                      0                      0                     
0           0          74       0.0006458482657671911  0.000237481648609751   0.00040829463978840755 7.197736903240585e-08  0.056253372207007706   0.5831375265890666     0.014192777927451404   0.5088213137831887     0.1527983901872508     0.10922013450644198    77     916    7.04317692563839e-08   1.545599776021947e-09  0                      0                      0                      0                     
